Title,Body,Assignees,Labels
"Fase 1 - Definir roteiro técnico geral","Roteiro completo com fases e tarefas técnicas do projeto.","","Fase 1"
"Fase 1 - Escolher stack (linguagens, frameworks, libs)","Definir linguagem (Python), framework (FastAPI), bibliotecas (dotenv, etc).","","Fase 1"
"Fase 1 - Arquitetura geral do sistema","Planejar estrutura de pastas, responsabilidades e módulos principais.","","Fase 1"
"Fase 1 - Planejar integrações com APIs","Planejar como serão feitas integrações com WhatsApp, OpenAI e Google Calendar.","","Fase 1"
"Fase 1 - Git e ambiente de dev","Configurar repositório Git, VS Code, venv e ambiente local.","","Fase 1"
"Fase 2 - Criar diretório raiz e iniciar Git","Criar pasta do projeto e executar `git init`.","","Fase 2"
"Fase 2 - Instalar dependências","Instalar FastAPI, Uvicorn, dotenv, etc. via pip.","","Fase 2"
"Fase 2 - Criar .gitignore","Incluir `.env`, `__pycache__`, `.vscode/`, etc.","","Fase 2"
"Fase 2 - Criar main.py com FastAPI","Iniciar app FastAPI básico com rota root.","","Fase 2"
"Fase 2 - Criar pasta app/ e subpastas","Estrutura inicial: routes, services, schemas, core, utils.","","Fase 2"
"Fase 2 - Criar README.md","Incluir visão geral do projeto e checklist de fases.","","Fase 2"
"Fase 2 - Criar credentials.json","Placeholder para credenciais do Google API.","","Fase 2"
"Fase 3 - Criar webhook do WhatsApp","Endpoint que recebe mensagens via WhatsApp Business API.","","Fase 3"
"Fase 3 - Integrar com OpenAI","Usar GPT para interpretar intenções do usuário.","","Fase 3"
"Fase 3 - Verificar convênio","Checar se o convênio informado está na lista.","","Fase 3"
"Fase 3 - Consultar horários no Google Calendar","Verificar horários disponíveis na agenda do profissional.","","Fase 3"
"Fase 3 - Criar evento na agenda","Agendar consulta com dados do paciente no Google Calendar.","","Fase 3"
"Fase 3 - Enviar confirmação via WhatsApp","Mensagem final de confirmação e link da agenda.","","Fase 3"
"Fase 4 - Testar webhook","Usar ngrok ou webhook.site para testar POSTs do WhatsApp.","","Fase 4"
"Fase 4 - Testes unitários","Testar integração com OpenAI, Google API e lógicas de negócio.","","Fase 4"
"Fase 4 - Criar .env.example","Modelo de variáveis de ambiente para deploy.","","Fase 4"
"Fase 4 - Criar Dockerfile","Containerizar a aplicação (opcional).","","Fase 4"
"Fase 4 - Fazer deploy","Subir para Render, Railway, GCP, ou outra opção.","","Fase 4"
